#Date/Time of Update: 2018-05-09 10:16:09 AM,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date,#Age,#Birth City,#Birth Country,#Rookie,#High School,#College,#Twitter,#Roster Status,#Draft,#Contract,#Shoots,#Team ID,#Team Abbr.,#Team City,#Team Name,#Official Image URL
,10138,Abrines,Alex,8,SG,"6'6""",190,1993-08-01,24,Palma de Mallorca,Spain,N,,,,ASSIGNED_ROSTER,2013 by OKL with pick 2 in round 2 (32 overall),,R,96,OKL,Oklahoma City,Thunder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png
,9466,Acy,Quincy,13,PF,"6'7""",240,1990-10-06,27,"Tyler, TX",USA,N,Mesquite Horn,Baylor University,QuincyAcy,ASSIGNED_ROSTER,2012 by TOR with pick 7 in round 2 (37 overall),1709538 salary starting in 2017 on a 2 year contract,R,84,BRO,Brooklyn,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png
,9390,Adams,Steven,12,C,"7'0""",255,1993-07-20,24,Rotorua,New Zealand,N,Notre Dame Preparatory School,University of Pittsburgh,RealStevenAdams,ASSIGNED_ROSTER,2013 by OKL with pick 12 in round 1 (12 overall),22471910 salary starting in 2017 on a 4 year contract,R,96,OKL,Oklahoma City,Thunder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png
,13742,Adebayo,Bam,13,C,"6'10""",255,1997-07-18,20,"Newark, NJ",USA,N,High Point Christian Academy,University of Kentucky,Bam1of1,ASSIGNED_ROSTER,2017 by MIA with pick 14 in round 1 (14 overall),2490360 salary starting in 2017 on a 2 year contract,R,92,MIA,Miami,Heat,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png
,9375,Afflalo,Arron,4,SG,"6'5""",210,1985-10-15,32,"Los Angeles, CA",USA,N,Centennial,"University of California, Los Angeles",,ASSIGNED_ROSTER,2007 by DET with pick 27 in round 1 (27 overall),2328652 salary starting in 2017 on a 1 year contract,R,95,ORL,Orlando,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201167.png
,9357,Ajinca,Alexis,42,C,"7'2""",248,1988-05-06,30,Saint-Etienne,France,N,,,,ASSIGNED_ROSTER,,4961798 salary starting in 2017 on a 4 year contract,R,110,NOP,New Orleans,Pelicans,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201582.png
,9272,Aldrich,Cole,45,C,"6'11""",253,1988-10-31,29,"Burnsville, MN",USA,N,Thomas Jefferson,University of Kansas,colea45,ASSIGNED_ROSTER,,7300000 salary starting in 2017 on a 3 year contract,R,100,MIN,Minnesota,Timberwolves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202332.png
,9480,Aldridge,LaMarcus,12,PF,"6'11""",260,1985-07-19,32,"Dallas, TX",USA,N,Seagoville,University of Texas at Austin,aldridge_12,ASSIGNED_ROSTER,2006 by CHI with pick 2 in round 1 (2 overall),21461010 salary starting in 2017 on a 4 year contract,R,106,SAS,San Antonio,Spurs,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png
,13749,Allen,Jarrett,31,C,"6'11""",234,1998-04-21,20,"Austin, TX",USA,Y,St. Stephen's Episcopal School,University of Texas at Austin,JarrettAllen55,ASSIGNED_ROSTER,2017 by BRO with pick 22 in round 1 (22 overall),1713720 salary starting in 2017 on a 2 year contract,R,84,BRO,Brooklyn,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png
,9299,Allen,Tony,24,SF,"6'4""",213,1982-01-10,36,"Chicago, IL",USA,N,Crane Technical Preparatory,Oklahoma State University,aa000G9,ASSIGNED_ROSTER,2004 by BOS with pick 25 in round 1 (25 overall),,R,89,CHI,Chicago,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2754.png
