name,latitude,longitude
Baylor University,31.5497007,-97.1143046
University of Pittsburgh,40.4443533,-79.960835
University of Kentucky,38.0306511,-84.5039697
"University of California, Los Angeles",34.068921,-118.4451811
University of Kansas,38.9543439,-95.2557961
University of Texas at Austin,30.2849185,-97.7340567
Oklahoma State University,36.1270236,-97.0737222
University of Arizona,32.2318851,-110.9501094
Temple University,39.9811935,-75.1553512
Wake Forest University,36.1352495,-80.2763425
"University of Nevada, Las Vegas",36.1085197,-115.1431709
Blinn College,30.1598781,-96.404999
University of Virginia,38.0335529,-78.5079772
University of California,37.8022657,-122.2712357
Michigan State University,42.701848,-84.4821719
Syracuse University,43.0391534,-76.1351158
Indiana University,39.1745704,-86.5129458
Villanova University,40.037056,-75.337547
"University of Nevada, Reno",39.5441917,-119.816397
Florida State University,30.4418778,-84.2984889
University of New Mexico,35.0843187,-106.6197812
Wichita State University,37.7193933,-97.2928693
Vanderbilt University,36.1447034,-86.8026551
Northeastern University,42.3398067,-71.0891717
University of North Carolina,35.9049122,-79.0469134
University of Memphis,35.118741,-89.937141
Louisiana State University,30.4132579,-91.1800023
Washington State University,46.7319225,-117.1542121
Old Dominion University,36.8856104,-76.3067777
University of Florida,29.6436325,-82.3549302
Kansas State University,39.1974437,-96.5847249
University of Oregon,44.0448302,-123.0726055
Saint Joseph's University,39.9946832,-75.2416405
Providence College,41.8440925,-71.438165
University of Arkansas,36.06783,-94.1736551
Marquette University,43.0382216,-87.9297546
University of Utah,40.7649368,-111.8421021
Weber State University,41.19185,-111.9449141
Clemson University,34.6760942,-82.8364148
Georgia Institute of Technology,33.7756178,-84.396285
"University of California, Irvine",33.6404952,-117.8442962
Stanford University,37.4274745,-122.1697819
Miami University,39.5105334,-84.7308768
North Carolina State University,35.784663,-78.68209
Southern Methodist University,32.8412178,-96.7845175
University of Michigan,42.2780436,-83.7382241
University of Colorado,40.007581,-105.2659417
University of Connecticut,41.80774,-72.253985
La Salle University,40.0387561,-75.1566322
University of Georgia,33.9480053,-83.3773221
Murray State University,36.6163842,-88.3214979
University of Missouri,38.9403808,-92.3277375
Texas A&M University,30.618531,-96.336499
George Washington University,38.8997145,-77.0485992
DePaul University,41.9256494,-87.654968
University of Washington,47.6553351,-122.3035199
Xavier University,39.1493644,-84.4745119
Belmont University,36.1328981,-86.7940699
Colorado State University,40.573436,-105.0865473
Southeast Missouri State University,37.3148783,-89.5280438
Cleveland State University,41.5024973,-81.6747185
Gonzaga University,47.667189,-117.402385
Brigham Young University,40.2518435,-111.6493156
Ohio State University,40.0141905,-83.030914
University of Notre Dame,41.7055716,-86.2353388
Duke University,36.0014258,-78.9382286
University of Dayton,39.7393,-84.1799675
Tennessee State University,36.1668224,-86.8275815
University of South Carolina Upstate,34.9992469,-81.9712719
Northwestern University,42.0564594,-87.6752661
Davidson College,35.5017318,-80.8467793
Virginia Commonwealth University,35.5495048,-77.4509718
Marshall University,38.4235332,-82.4263138
University of Southern California,38.0223519,-118.285117
University of Wisconsin,43.076592,-89.4124875
Virginia Polytechnic Institute and State University,37.2283843,-80.4234167
Saint Mary's College of California,37.8413472,-122.1101353
University of Louisville,38.2122761,-85.7585023
University of Houston,29.7199489,-95.3422334
Loyola University of Chicago,41.998997,-87.6581921
Boston College,42.3355488,-71.1684945
"California State University, Long Beach",33.7838235,-118.1140904
Western Kentucky University,36.9853543,-86.456138
Morehead State University,38.18943,-83.4310035
Oakland University,42.6679163,-83.208182
Arizona State University,33.4242399,-111.9280527
Pennsylvania State University,40.7982133,-77.8599084
University of Alabama,33.2140233,-87.5391418
"California State University, Fresno",36.8124451,-119.7457805
New Mexico State University,32.2787745,-106.7479059
College of Charleston,32.7836117,-79.9371762
Georgetown University,38.9076089,-77.0722585
University of Oklahoma,35.2058936,-97.4457137
Purdue University,40.4237054,-86.9211946
St. John's University,40.72208752,-73.79422188
University of Richmond,37.5758681,-77.5409744
University of Tennessee,35.9544013,-83.9294564
Butler University,39.8411235,-86.1711908
Northwestern,42.0564594,-87.675267
Indiana University-Purdue University Indianapolis,39.7738832,-86.1763393
