#Date/Time of Update: 2018-05-09 10:38:39 AM,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date,#Age,#Birth City,#Birth Country,#Rookie,#High School,#College,#Twitter,#Roster Status,#Draft,#Contract,#Shoots,#Catches,#Team ID,#Team Abbr.,#Team City,#Team Name,#Official Image URL
,4419,Abdelkader,Justin,8,LW,"6'2""",214,1987-02-25,31,"Muskegon, MI",USA,N,,,justinabss,ASSIGNED_ROSTER,2005 by DET with pick 12 in round 2 (42 overall),4500000 salary starting in 2017 on a 7 year contract,L,null,16,DET,Detroit,Red Wings,https://nhl.bamcontent.com/images/headshots/current/168x168/8471716@2x.jpg
,9554,Aberg,Pontus,46,LW,"5'11""",196,1993-09-22,24,Stockholm,Sweden,N,,,,ASSIGNED_ROSTER,2012 by NSH with pick 7 in round 2 (37 overall),650000 salary starting in 2017 on a 2 year contract,R,null,24,EDM,Edmonton,Oilers,https://nhl.bamcontent.com/images/headshots/current/168x168/8476857@2x.jpg
,5927,Acciari,Noel,55,C,"5'10""",208,1991-12-01,26,"Johnston, RI",USA,N,,,,ASSIGNED_ROSTER,,700000 salary starting in 2017 on a 2 year contract,R,null,11,BOS,Boston,Bruins,https://nhl.bamcontent.com/images/headshots/current/168x168/8478569@2x.jpg
,5353,Agostino,Kenny,18,LW,"6'0""",202,1992-04-30,26,"Morristown, NJ",USA,N,,,,ASSIGNED_MINORS,2010 by PIT with pick 20 in round 5 (140 overall),825000 salary starting in 2017 on a 1 year contract,L,null,11,BOS,Boston,Bruins,https://nhl.bamcontent.com/images/headshots/current/168x168/8475844@2x.jpg
,5234,Agozzino,Andrew,28,LW,"5'10""",187,1991-01-03,27,"Kleinburg, ON",Canada,N,,,,ASSIGNED_MINORS,,650000 salary starting in 2017 on a 2 year contract,L,null,22,COL,Colorado,Avalanche,https://nhl.bamcontent.com/images/headshots/current/168x168/8475461@2x.jpg
,5630,Aho,Sebastian,20,RW,"5'11""",172,1997-07-26,20,Rauma,Finland,N,,,SebastianAho,ASSIGNED_ROSTER,2015 by CAR with pick 5 in round 2 (35 overall),832500 salary starting in 2017 on a 3 year contract,L,null,3,CAR,Carolina,Hurricanes,https://nhl.bamcontent.com/images/headshots/current/168x168/8478427@2x.jpg
,13944,Aho,Sebastian,28,D,"5'10""",170,1996-02-17,22,Umea,Sweden,N,,,,ASSIGNED_ROSTER,2017 by NYI with pick 15 in round 5 (139 overall),650000 salary starting in 2017 on a 3 year contract,L,null,8,NYI,New York,Islanders,https://nhl.bamcontent.com/images/headshots/current/168x168/8480222@2x.jpg
,5303,Albert,John,70,C,"5'11""",179,1989-01-19,29,"Cleveland, OH",USA,N,,,adelbertjohn,ASSIGNED_OTHER,2007 by ATL with pick 24 in round 6 (175 overall),,L,null,5,WSH,Washington,Capitals,https://nhl.bamcontent.com/images/headshots/current/168x168/8474012@2x.jpg
,14439,Allard,Frederic,72,D,"6'1""",179,1997-12-26,20,"St. Suveur, QC",Canada,Y,,,,ASSIGNED_MINORS,2016 by NSH with pick 17 in round 3 (78 overall),,R,null,18,NSH,Nashville,Predators,
,5107,Allen,Jake,34,G,"6'2""",203,1990-08-07,27,"Fredericton, NB",Canada,N,,,34jallen,ASSIGNED_ROSTER,2008 by STL with pick 4 in round 2 (34 overall),,null,L,17,STL,St. Louis,Blues,https://nhl.bamcontent.com/images/headshots/current/168x168/8474596@2x.jpg
